square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-30,-17,-42,-40,-70,-56,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-17,-40,-38,-70,-56,-36,-50,-64,D8:07:B6:6E:4E:F4
s-01,-30,-17,-40,-40,-70,-56,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-38,-60,-56,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-42,-38,-60,-58,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-42,-60,-60,-56,-36,-50,-64,D8:07:B6:6E:4E:F4
s-01,-36,-17,-60,-38,-60,-56,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-52,-60,-68,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-52,-60,-68,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-60,-64,-60,-68,-34,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-42,-38,-58,-56,-34,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-60,-56,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-58,-56,-36,-50,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-68,-36,-56,-56,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-36,-56,-58,-58,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-36,-58,-56,-34,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-36,-64,-56,-64,-52,-66,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-36,-58,-56,-60,-50,-66,D8:07:B6:6E:4E:F4
s-01,-32,-70,-42,-36,-60,-56,-60,-52,-66,98:DE:D0:8F:0A:38
s-01,-32,-60,-42,-36,-60,-70,-36,-50,-66,98:DE:D0:8F:0A:38
s-01,-32,-19,-40,-40,-60,-70,-36,-50,-66,D8:07:B6:6E:4E:F4
s-01,-32,-19,-42,-40,-60,-70,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-68,-70,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-54,-19,-42,-38,-68,-70,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-54,-19,-42,-40,-68,-56,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-54,-17,-42,-40,-68,-68,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-17,-42,-60,-56,-68,-44,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-42,-40,-56,-68,-44,-52,-66,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-44,-56,-68,-36,-52,-66,D8:07:B6:6E:4E:F4
s-01,-34,-17,-40,-44,-56,-68,-36,-60,-60,D8:07:B6:6E:4E:F4
s-01,-34,-28,-40,-44,-56,-56,-36,-60,-60,D8:07:B6:6E:4E:F4
s-01,-34,-17,-42,-44,-56,-56,-36,-52,-60,D8:07:B6:6E:4E:F4
s-01,-30,-17,-42,-44,-56,-56,-34,-52,-60,D8:07:B6:6E:4E:F4
s-01,-30,-19,-42,-38,-62,-56,-34,-52,-60,D8:07:B6:6E:4E:F4
s-01,-30,-17,-44,-38,-62,-56,-34,-52,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-58,-38,-62,-56,-36,-52,-64,D8:07:B6:6E:4E:F4
s-01,-30,-60,-58,-38,-62,-56,-36,-50,-64,98:DE:D0:8F:0A:38
s-01,-32,-19,-58,-38,-60,-56,-34,-50,-64,D8:07:B6:6E:4E:F4
s-01,-32,-17,-60,-40,-60,-56,-38,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-60,-56,-34,-54,-64,D8:07:B6:6E:4E:F4
s-01,-30,-19,-42,-40,-58,-56,-36,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-17,-40,-60,-58,-54,-34,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-38,-58,-54,-52,-60,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-38,-68,-54,-34,-54,-64,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-68,-60,-36,-54,-68,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-40,-62,-56,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-62,-56,-32,-52,-68,D8:07:B6:6E:4E:F4
s-01,-30,-19,-40,-40,-62,-60,-36,-52,-68,D8:07:B6:6E:4E:F4
s-01,-32,-19,-40,-38,-60,-60,-36,-62,-68,D8:07:B6:6E:4E:F4
s-01,-30,-17,-40,-38,-60,-56,-36,-62,-68,D8:07:B6:6E:4E:F4
