square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-01,-28,-32,-19,-42,-48,-50,-50,-42
s-01,-34,-32,-19,-40,-48,-50,-50,-42
s-01,-32,-32,-19,-56,-52,-48,-60,-42
s-01,-32,-32,-19,-42,-48,-52,-52,-42
s-01,-30,-32,-52,-40,-48,-76,-50,-42
s-01,-48,-32,-19,-40,-48,-50,-50,-42
s-01,-44,-32,-19,-50,-48,-50,-50,-44
s-01,-30,-32,-19,-42,-48,-50,-50,-42
s-01,-30,-34,-20,-42,-48,-48,-50,-42
s-01,-30,-32,-19,-40,-48,-48,-52,-44
s-01,-30,-32,-19,-40,-50,-50,-50,-42
s-01,-32,-32,-40,-40,-48,-50,-50,-44
s-01,-32,-32,-19,-40,-48,-50,-50,-44
s-01,-30,-36,-19,-40,-52,-48,-50,-44
s-01,-30,-32,-17,-40,-52,-48,-90,-44
s-01,-30,-32,-17,-40,-54,-48,-50,-46
s-01,-32,-32,-19,-46,-52,-48,-50,-44
s-01,-34,-32,-80,-46,-50,-48,-50,-48
s-01,-30,-32,-17,-46,-52,-52,-50,-48
s-01,-30,-36,-20,-46,-50,-52,-50,-48
s-01,-30,-34,-17,-44,-52,-52,-50,-44
s-01,-32,-32,-90,-48,-44,-52,-50,-44
s-01,-28,-32,-19,-48,-46,-52,-52,-60
s-01,-50,-32,-17,-42,-46,-52,-48,-44
s-01,-34,-32,-28,-44,-48,-50,-50,-44
s-01,-30,-32,-19,-72,-46,-50,-50,-44
s-01,-28,-32,-19,-42,-48,-52,-50,-38
s-01,-28,-36,-19,-40,-48,-52,-52,-46
s-01,-30,-32,-19,-42,-48,-48,-50,-46
s-01,-30,-32,-78,-44,-48,-50,-50,-44
s-01,-30,-32,-19,-76,-48,-50,-48,-42
s-01,-32,-32,-19,-76,-50,-50,-50,-46
s-01,-30,-34,-19,-44,-48,-50,-50,-38
s-01,-32,-32,-19,-42,-46,-50,-50,-44
s-01,-30,-32,-19,-40,-48,-50,-50,-44
s-01,-30,-32,-17,-42,-46,-48,-50,-44
s-01,-32,-32,-40,-64,-46,-48,-50,-44
s-01,-32,-32,-19,-64,-48,-50,-52,-44
s-01,-30,-32,-19,-42,-48,-52,-56,-44
s-01,-32,-32,-44,-76,-48,-50,-50,-44
s-01,-32,-32,-19,-76,-48,-50,-50,-44
s-01,-30,-32,-20,-42,-48,-50,-50,-46
s-01,-30,-32,-17,-42,-48,-52,-50,-46
s-01,-32,-32,-19,-42,-46,-50,-50,-44
s-01,-32,-30,-17,-42,-46,-50,-50,-44
s-01,-32,-32,-40,-42,-48,-50,-50,-48
s-01,-28,-32,-19,-42,-46,-82,-56,-44
s-01,-30,-32,-40,-42,-48,-50,-50,-44
s-01,-44,-32,-19,-42,-46,-50,-48,-38
s-01,-30,-32,-20,-42,-46,-50,-50,-44
s-01,-30,-32,-19,-42,-46,-52,-50,-44
s-01,-30,-32,-19,-90,-46,-52,-50,-46
s-01,-32,-30,-19,-44,-48,-50,-48,-40
s-01,-28,-32,-19,-44,-48,-52,-50,-46
s-01,-28,-32,-17,-44,-46,-52,-50,-44
s-01,-50,-32,-19,-44,-46,-52,-50,-44
s-01,-32,-32,-19,-44,-48,-50,-50,-44
s-01,-30,-32,-52,-44,-48,-52,-50,-46
s-01,-28,-34,-19,-84,-48,-52,-52,-44
s-01,-32,-32,-19,-44,-48,-52,-50,-44
s-01,-30,-32,-19,-44,-48,-52,-52,-44
s-01,-32,-32,-20,-44,-48,-52,-50,-44
s-01,-32,-32,-19,-42,-46,-50,-50,-46
s-01,-32,-32,-19,-42,-48,-50,-50,-44
s-01,-32,-32,-19,-42,-54,-50,-50,-46
s-01,-30,-32,-19,-42,-48,-50,-50,-46
s-01,-32,-32,-19,-42,-44,-48,-50,-46
s-01,-44,-32,-19,-44,-48,-50,-50,-46
s-01,-30,-32,-20,-44,-46,-50,-50,-44
s-01,-30,-32,-19,-44,-46,-50,-50,-48
s-01,-32,-30,-60,-44,-48,-50,-50,-46
s-01,-32,-32,-60,-44,-48,-50,-58,-46
s-01,-30,-32,-60,-44,-46,-52,-50,-42
s-01,-30,-32,-19,-44,-48,-52,-50,-44
s-01,-30,-32,-19,-44,-46,-52,-48,-44
s-01,-32,-32,-19,-44,-46,-52,-48,-44
s-01,-30,-48,-19,-44,-46,-50,-48,-44
s-01,-32,-32,-19,-44,-48,-50,-52,-44
s-01,-38,-32,-19,-44,-48,-52,-50,-38
s-01,-30,-32,-74,-44,-48,-50,-50,-46
s-01,-30,-32,-21,-50,-48,-52,-48,-44
s-01,-32,-30,-19,-42,-48,-52,-48,-44
s-01,-28,-52,-44,-42,-48,-52,-50,-48
s-01,-32,-32,-19,-42,-48,-52,-52,-46
s-01,-28,-32,-19,-42,-48,-50,-50,-44
s-01,-30,-32,-19,-44,-48,-50,-50,-44
s-01,-30,-32,-19,-44,-48,-50,-50,-44
s-01,-32,-32,-60,-44,-48,-52,-50,-42
s-01,-32,-32,-19,-44,-48,-52,-50,-46
s-01,-32,-32,-19,-44,-46,-58,-50,-44
s-01,-28,-32,-19,-44,-48,-50,-50,-44
s-01,-30,-32,-60,-44,-48,-90,-50,-46
s-01,-32,-32,-19,-44,-48,-90,-48,-44
s-01,-32,-32,-19,-44,-48,-90,-48,-44
s-01,-32,-32,-19,-44,-48,-90,-52,-44
s-01,-30,-32,-19,-44,-48,-90,-50,-44
s-01,-30,-32,-19,-44,-46,-90,-52,-44
s-01,-28,-32,-44,-42,-48,-52,-50,-44
s-01,-30,-32,-19,-42,-48,-52,-50,-48
s-01,-30,-32,-20,-44,-46,-52,-52,-44
s-01,-32,-34,-17,-44,-46,-52,-52,-44
s-01,-32,-34,-78,-42,-48,-52,-50,-44
s-01,-32,-32,-17,-42,-48,-84,-50,-44
s-01,-30,-32,-19,-44,-48,-52,-50,-44
s-01,-30,-32,-19,-42,-48,-52,-50,-44
s-01,-32,-32,-19,-44,-48,-52,-56,-44
s-01,-30,-30,-19,-44,-46,-52,-50,-46
s-01,-36,-32,-19,-44,-48,-50,-50,-46
s-01,-32,-32,-19,-44,-48,-50,-46,-46
s-01,-46,-32,-19,-44,-48,-50,-50,-48
