square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-01,-38,-20,-36,-32,-64,-60,-38,-60,-62,D8:07:B6:6E:4E:F4
s-01,-74,-60,-36,-30,-76,-60,-36,-62,-64,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-30,-72,-60,-36,-62,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-60,-60,-36,-62,-58,D8:07:B6:6E:4E:F4
s-01,-38,-72,-34,-28,-64,-60,-44,-62,-62,D8:07:B6:6E:4E:0A
s-01,-38,-20,-34,-30,-60,-60,-44,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-36,-30,-60,-60,-36,-56,-60,D8:07:B6:6E:4E:F4
s-01,-38,-60,-36,-30,-60,-60,-36,-56,-60,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-30,-60,-60,-36,-56,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-44,-30,-60,-60,-42,-56,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-44,-66,-58,-60,-74,-62,-58,D8:07:B6:6E:4E:F4
s-01,-38,-22,-44,-30,-58,-60,-42,-62,-64,D8:07:B6:6E:4E:F4
s-01,-38,-20,-44,-32,-58,-60,-42,-62,-64,D8:07:B6:6E:4E:F4
s-01,-36,-68,-36,-30,-64,-60,-40,-62,-64,D8:07:B6:6E:4E:0A
s-01,-36,-20,-36,-30,-64,-60,-42,-62,-64,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-64,-60,-42,-62,-64,D8:07:B6:6E:4E:F4
s-01,-36,-20,-36,-32,-64,-60,-42,-62,-62,D8:07:B6:6E:4E:F4
s-01,-36,-20,-40,-30,-64,-60,-42,-62,-62,D8:07:B6:6E:4E:F4
s-01,-38,-72,-40,-32,-60,-60,-68,-62,-62,D8:07:B6:6E:4E:0A
s-01,-40,-20,-40,-30,-60,-60,-40,-64,-62,D8:07:B6:6E:4E:F4
s-01,-40,-22,-40,-30,-64,-60,-40,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-20,-40,-42,-64,-56,-42,-64,-62,D8:07:B6:6E:4E:F4
s-01,-38,-22,-66,-30,-68,-56,-42,-58,-62,D8:07:B6:6E:4E:F4
s-01,-40,-20,-66,-30,-68,-56,-42,-58,-64,D8:07:B6:6E:4E:F4
s-01,-40,-20,-36,-30,-68,-56,-42,-56,-64,D8:07:B6:6E:4E:F4
s-01,-40,-22,-36,-30,-66,-54,-42,-60,-62,D8:07:B6:6E:4E:F4
s-01,-36,-22,-36,-30,-66,-54,-38,-56,-60,D8:07:B6:6E:4E:F4
s-01,-36,-70,-36,-30,-58,-50,-42,-58,-60,D8:07:B6:6E:4E:0A
s-01,-38,-62,-36,-28,-58,-50,-42,-58,-60,D8:07:B6:6E:4E:0A
s-01,-38,-22,-36,-30,-58,-50,-42,-58,-60,D8:07:B6:6E:4E:F4
s-01,-38,-20,-76,-30,-60,-50,-44,-58,-60,D8:07:B6:6E:4E:F4
s-01,-38,-22,-36,-28,-58,-56,-36,-58,-60,D8:07:B6:6E:4E:F4
s-01,-40,-68,-40,-30,-62,-56,-36,-64,-58,D8:07:B6:6E:4E:0A
s-01,-38,-20,-36,-30,-62,-56,-36,-60,-60,D8:07:B6:6E:4E:F4
