square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07
s-02,-42,-48,-48,-50,-46,-60,-28,-36
s-02,-48,-46,-48,-48,-44,-60,-28,-34
s-02,-42,-44,-48,-50,-44,-62,-52,-34
s-02,-42,-44,-44,-50,-44,-60,-28,-36
s-02,-50,-44,-48,-52,-44,-64,-28,-34
s-02,-42,-60,-48,-48,-44,-60,-28,-36
s-02,-48,-44,-48,-48,-44,-62,-28,-36
s-02,-46,-46,-48,-48,-42,-60,-28,-42
s-02,-48,-46,-48,-90,-42,-60,-30,-32
s-02,-52,-46,-48,-48,-48,-60,-28,-36
s-02,-44,-46,-48,-48,-42,-62,-28,-36
s-02,-44,-46,-50,-48,-46,-62,-30,-34
s-02,-48,-46,-48,-50,-42,-62,-28,-32
s-02,-48,-46,-48,-48,-44,-62,-28,-34
s-02,-48,-44,-48,-48,-44,-62,-28,-36
s-02,-60,-44,-48,-44,-44,-62,-24,-36
s-02,-42,-46,-50,-46,-90,-62,-28,-32
s-02,-44,-46,-42,-54,-42,-62,-26,-32
s-02,-44,-46,-42,-54,-42,-60,-26,-32
s-02,-48,-44,-42,-76,-42,-60,-26,-32
s-02,-48,-46,-42,-48,-44,-60,-26,-36
s-02,-46,-46,-48,-48,-42,-60,-28,-80
s-02,-42,-46,-82,-76,-44,-62,-28,-36
s-02,-44,-46,-82,-48,-44,-62,-44,-36
s-02,-44,-48,-82,-48,-44,-62,-28,-34
s-02,-42,-44,-82,-46,-46,-62,-28,-34
s-02,-46,-44,-82,-46,-50,-62,-28,-34
s-02,-50,-44,-82,-50,-42,-62,-28,-82
s-02,-42,-46,-48,-48,-44,-60,-28,-36
s-02,-46,-44,-48,-46,-42,-64,-28,-34
s-02,-50,-48,-48,-76,-42,-64,-28,-32
s-02,-50,-48,-48,-48,-48,-64,-28,-34
s-02,-42,-48,-42,-44,-44,-64,-28,-32
s-02,-42,-48,-48,-44,-42,-64,-30,-34
s-02,-50,-44,-48,-48,-42,-64,-30,-34
s-02,-50,-48,-48,-48,-44,-62,-28,-36
s-02,-46,-46,-40,-48,-42,-62,-28,-34
s-02,-48,-46,-46,-46,-44,-60,-28,-34
s-02,-42,-46,-48,-50,-44,-60,-28,-34
s-02,-48,-44,-48,-48,-42,-60,-28,-34
s-02,-48,-46,-44,-48,-76,-60,-44,-34
s-02,-48,-44,-46,-48,-44,-64,-28,-32
s-02,-46,-42,-48,-48,-42,-60,-28,-34
s-02,-48,-44,-48,-48,-42,-58,-28,-32
s-02,-48,-46,-48,-50,-44,-56,-28,-34
s-02,-48,-46,-48,-76,-44,-62,-28,-34
s-02,-48,-48,-48,-52,-46,-62,-28,-34
s-02,-48,-76,-48,-48,-68,-62,-28,-34
s-02,-48,-44,-38,-48,-42,-62,-28,-32
s-02,-48,-44,-46,-50,-46,-62,-28,-32
s-02,-74,-44,-44,-52,-46,-62,-28,-34
