square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-38,-40,-28,-32,-50,-48,-42,-46,-68,D8:07:B6:6E:4F:80
s-03,-38,-38,-28,-32,-50,-48,-42,-46,-68,D8:07:B6:6E:4F:80
s-03,-38,-36,-30,-32,-52,-48,-46,-48,-66,D8:07:B6:6E:4F:80
s-03,-38,-40,-28,-28,-48,-48,-42,-48,-66,D8:07:B6:6E:4E:0A
s-03,-38,-40,-28,-44,-60,-48,-48,-50,-66,D8:07:B6:6E:4F:80
s-03,-42,-38,-30,-28,-60,-48,-48,-46,-62,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-30,-56,-48,-60,-48,-62,D8:07:B6:6E:4E:0A
s-03,-42,-56,-32,-30,-54,-46,-44,-46,-62,D8:07:B6:6E:4E:0A
s-03,-40,-56,-30,-28,-54,-56,-44,-44,-62,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-54,-56,-44,-48,-68,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-30,-48,-56,-44,-48,-68,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-30,-54,-46,-44,-48,-68,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-30,-54,-46,-44,-48,-68,D8:07:B6:6E:4E:0A
s-03,-54,-40,-32,-48,-54,-48,-44,-46,-68,D8:07:B6:6E:4F:80
s-03,-40,-38,-32,-28,-54,-48,-44,-44,-66,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-30,-48,-48,-44,-44,-66,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-30,-48,-48,-44,-44,-66,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-48,-48,-44,-44,-60,D8:07:B6:6E:4E:0A
s-03,-40,-40,-32,-28,-48,-40,-48,-44,-64,D8:07:B6:6E:4E:0A
s-03,-40,-42,-48,-28,-48,-46,-44,-44,-64,D8:07:B6:6E:4E:0A
s-03,-40,-42,-48,-50,-48,-48,-44,-44,-68,98:DE:D0:8F:0A:38
s-03,-40,-44,-32,-50,-48,-48,-44,-44,-68,D8:07:B6:6E:4F:80
s-03,-40,-44,-48,-30,-48,-48,-38,-46,-68,D8:07:B6:6E:4E:0A
s-03,-38,-38,-30,-28,-48,-48,-38,-46,-62,D8:07:B6:6E:4E:0A
s-03,-38,-38,-30,-28,-52,-48,-38,-46,-72,D8:07:B6:6E:4E:0A
s-03,-40,-36,-30,-28,-52,-48,-44,-46,-72,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-52,-48,-44,-46,-72,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-52,-48,-70,-46,-72,D8:07:B6:6E:4E:0A
s-03,-40,-46,-28,-28,-52,-46,-68,-46,-72,D8:07:B6:6E:4E:0A
s-03,-38,-46,-30,-28,-52,-46,-44,-46,-68,D8:07:B6:6E:4E:0A
s-03,-38,-40,-30,-28,-52,-46,-44,-46,-68,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-52,-48,-46,-42,-76,-68,D8:07:B6:6E:4F:80
s-03,-42,-40,-30,-28,-54,-46,-46,-44,-64,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-32,-28,-54,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-28,-28,-54,-48,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-60,-28,-28,-52,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-60,-30,-28,-52,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-28,-52,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-52,-46,-46,-46,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-52,-46,-46,-48,-58,D8:07:B6:6E:4E:0A
s-03,-78,-40,-48,-28,-56,-46,-50,-48,-58,D8:07:B6:6E:4E:0A
s-03,-40,-40,-48,-50,-56,-46,-42,-48,-58,D8:07:B6:6E:4E:F4
s-03,-42,-40,-48,-28,-56,-46,-42,-48,-70,D8:07:B6:6E:4E:0A
s-03,-42,-40,-30,-30,-54,-46,-50,-48,-70,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-28,-54,-46,-50,-46,-70,D8:07:B6:6E:4E:0A
s-03,-40,-40,-30,-28,-54,-46,-60,-48,-70,D8:07:B6:6E:4E:0A
s-03,-42,-38,-30,-28,-54,-44,-74,-48,-70,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-28,-54,-46,-46,-48,-70,D8:07:B6:6E:4E:0A
s-03,-42,-38,-32,-30,-54,-46,-46,-48,-70,D8:07:B6:6E:4E:0A
s-03,-40,-40,-34,-48,-54,-46,-46,-48,-68,D8:07:B6:6E:4F:80
s-03,-40,-38,-32,-48,-54,-46,-76,-62,-68,D8:07:B6:6E:4F:80
s-03,-40,-38,-30,-28,-54,-46,-76,-46,-68,D8:07:B6:6E:4E:0A
s-03,-40,-38,-60,-28,-54,-46,-76,-90,-68,D8:07:B6:6E:4E:0A
s-03,-40,-38,-30,-44,-54,-44,-76,-46,-68,D8:07:B6:6E:4F:80
s-03,-40,-40,-68,-28,-54,-46,-42,-48,-62,D8:07:B6:6E:4E:0A
