square,AP-00,AP-01,AP-02,AP-03,AP-04,AP-05,AP-06,AP-07,AP-08,bestMAC
s-03,-42,-30,-26,-36,-74,-56,-44,-44,-56,D8:07:B6:6E:4F:80
s-03,-60,-30,-26,-36,-56,-56,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-32,-28,-36,-56,-56,-44,-44,-58,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-56,-44,-44,-58,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-56,-42,-46,-64,D8:07:B6:6E:4F:80
s-03,-40,-32,-24,-34,-56,-56,-44,-46,-64,D8:07:B6:6E:4F:80
s-03,-38,-30,-26,-68,-64,-56,-40,-46,-64,D8:07:B6:6E:4F:80
s-03,-64,-30,-26,-36,-56,-56,-40,-46,-62,D8:07:B6:6E:4F:80
s-03,-64,-30,-26,-36,-72,-56,-40,-46,-62,D8:07:B6:6E:4F:80
s-03,-64,-30,-24,-36,-72,-56,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-64,-30,-26,-36,-58,-56,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-64,-30,-24,-36,-54,-58,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-64,-30,-24,-34,-60,-58,-44,-46,-64,D8:07:B6:6E:4F:80
s-03,-64,-32,-26,-36,-76,-58,-44,-46,-64,D8:07:B6:6E:4F:80
s-03,-64,-30,-24,-36,-56,-58,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-38,-32,-26,-36,-58,-58,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-36,-56,-58,-44,-48,-64,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-58,-44,-48,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-60,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-36,-56,-60,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-36,-60,-26,-36,-56,-60,-44,-46,-60,D8:07:B6:6E:4F:80
s-03,-36,-30,-24,-36,-56,-60,-44,-42,-64,D8:07:B6:6E:4F:80
s-03,-36,-30,-24,-36,-56,-60,-42,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-32,-28,-36,-60,-60,-42,-60,-64,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-36,-56,-60,-42,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-60,-36,-56,-60,-44,-60,-64,D8:07:B6:6E:4E:F4
s-03,-42,-32,-24,-36,-56,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-60,-44,-46,-64,D8:07:B6:6E:4F:80
s-03,-44,-30,-26,-36,-56,-60,-44,-46,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-60,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-56,-60,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-54,-60,-60,-46,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-60,-44,-60,-58,D8:07:B6:6E:4F:80
s-03,-40,-32,-26,-36,-56,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-58,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-56,-60,-44,-60,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-38,-56,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-68,-60,-44,-60,-64,D8:07:B6:6E:4F:80
s-03,-40,-32,-26,-36,-68,-60,-44,-60,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-60,-44,-60,-60,D8:07:B6:6E:4F:80
s-03,-42,-32,-26,-36,-54,-60,-56,-60,-60,D8:07:B6:6E:4F:80
s-03,-40,-32,-28,-36,-54,-60,-56,-60,-60,D8:07:B6:6E:4F:80
s-03,-40,-56,-24,-36,-56,-60,-56,-60,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-60,-44,-64,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-60,-44,-64,-64,D8:07:B6:6E:4F:80
s-03,-44,-30,-26,-36,-56,-60,-42,-64,-64,D8:07:B6:6E:4F:80
s-03,-42,-68,-26,-36,-54,-56,-42,-64,-64,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-36,-58,-56,-42,-64,-60,D8:07:B6:6E:4F:80
s-03,-38,-30,-26,-34,-58,-56,-42,-64,-62,D8:07:B6:6E:4F:80
s-03,-38,-30,-24,-34,-58,-56,-42,-64,-64,D8:07:B6:6E:4F:80
s-03,-38,-32,-28,-36,-56,-56,-42,-64,-64,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-36,-56,-56,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-32,-24,-36,-56,-56,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-24,-36,-56,-56,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-28,-36,-56,-56,-60,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-28,-36,-56,-58,-42,-46,-64,D8:07:B6:6E:4F:80
s-03,-42,-30,-28,-36,-56,-58,-42,-46,-62,D8:07:B6:6E:4F:80
s-03,-42,-30,-28,-36,-56,-58,-42,-48,-74,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-56,-58,-42,-44,-62,D8:07:B6:6E:4F:80
s-03,-40,-32,-28,-36,-56,-58,-42,-44,-62,D8:07:B6:6E:4F:80
s-03,-40,-32,-24,-46,-56,-58,-44,-44,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-46,-56,-58,-42,-44,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-56,-58,-42,-44,-66,D8:07:B6:6E:4F:80
s-03,-40,-32,-28,-36,-56,-58,-44,-44,-66,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-58,-44,-48,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-58,-44,-48,-64,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-58,-44,-48,-66,D8:07:B6:6E:4F:80
s-03,-40,-30,-28,-36,-56,-58,-44,-68,-66,D8:07:B6:6E:4F:80
s-03,-40,-32,-32,-36,-56,-58,-44,-68,-66,D8:07:B6:6E:4F:80
s-03,-40,-32,-24,-36,-56,-58,-56,-68,-60,D8:07:B6:6E:4F:80
s-03,-40,-30,-24,-36,-58,-58,-56,-68,-60,D8:07:B6:6E:4F:80
s-03,-40,-68,-26,-36,-56,-58,-42,-44,-60,D8:07:B6:6E:4F:80
s-03,-40,-32,-26,-36,-56,-58,-42,-44,-60,D8:07:B6:6E:4F:80
s-03,-46,-32,-26,-36,-56,-58,-42,-44,-60,D8:07:B6:6E:4F:80
s-03,-46,-30,-24,-36,-56,-58,-42,-44,-60,D8:07:B6:6E:4F:80
s-03,-42,-32,-28,-36,-56,-58,-42,-44,-62,D8:07:B6:6E:4F:80
s-03,-40,-32,-24,-36,-56,-58,-44,-44,-60,D8:07:B6:6E:4F:80
s-03,-42,-30,-26,-36,-56,-58,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-26,-36,-56,-58,-44,-44,-62,D8:07:B6:6E:4F:80
s-03,-40,-30,-60,-36,-56,-56,-44,-44,-60,D8:07:B6:6E:4E:F4
s-03,-40,-30,-60,-36,-56,-56,-44,-44,-64,D8:07:B6:6E:4E:F4
s-03,-42,-30,-28,-36,-56,-54,-44,-44,-64,D8:07:B6:6E:4F:80
